stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
6169,6169,Paisley at Ryde eastbound,PAISLEY ROAD & CANDLEWOOD DRIVE,43.528278,-80.281075,0,,,,,
6183,6183,230 Hanlon Creek southbound,HANLON CREEK BOULEVARD,43.491919,-80.219211,0,,,,,
6185,6185,Clairfields at Gosling eastbound,CLAIRFIELDS DRIVE WEST & ACKER STREET,43.503409,-80.196273,0,,,,,
6188,6188,Clair at Gosling eastbound,GOSLING GARDENS & CLAIR ROAD WEST,43.498585,-80.191144,0,,,,,
6189,6189,Poppy at 254 Gosling eastbound,POPPY GARDENS WEST & CLAIR ROAD WEST,43.49813,-80.188616,0,,,,,0
6191,6191,Speedvale at Dawson westbound,SPEEDVALE AVENUE WEST & DAWSON ROAD,43.549248,-80.28098,0,,,,,
6192,6192,249 Speedvale westbound,SPEEDVALE AVENUE WEST & DAWSON ROAD,43.546292,-80.285061,0,,,,,
6193,6193,560 Hanlon Creek eastbound,DOWNEY ROAD & HANLON CREEK BOULEVARD,43.493028,-80.230501,0,,,,,
6194,6194,Downey at Mollison southbound,DOWNEY ROAD,43.501975,-80.239108,0,,,,,
6197,6197,Downey at Quail Creek northbound,DOWNEY ROAD & PHEASANT RUN DRIVE,43.498704,-80.23522,0,,,,,
6198,6198,Woodland Glen at Bridlewood westbound,WOODLAND GLEN DRIVE & PHEASANT RUN DRIVE,43.507279,-80.240669,0,,,,,0
6199,6199,Woodland Glen at Woodland Glen Park northbound,WOODLAND GLEN DRIVE & WAGONERS TRAIL,43.508089,-80.244936,0,,,,,0
6200,6200,Woodland Glen at Wagoners northbound,WOODLAND GLEN DRIVE & STONE ROAD WEST,43.509336,-80.246628,0,,,,,0
6201,6201,Scottsdale at Janefield northbound,SCOTTSDALE DRIVE & STONE ROAD WEST,43.516119,-80.240039,0,,,,,
6202,6202,Scottsdale at Janefield southbound,SCOTTSDALE DRIVE,43.516199,-80.240428,0,,,,,
6203,6203,Woodland Glen at Woodland Glen Park southbound,WOODLAND GLEN DRIVE & WAGONERS TRAIL,43.508105,-80.245162,0,,,,,0
6204,6204,Woodland Glen at Bridlewood eastbound,WOODLAND GLEN DRIVE & WAGONERS TRAIL,43.507213,-80.24055,0,,,,,0
6205,6205,Woodland Glen at Trillium southbound,WOODLAND GLEN DRIVE & WAGONERS TRAIL,43.505906,-80.237308,0,,,,,0
6206,6206,Downey at Niska southbound,DOWNEY ROAD & WAGONERS TRAIL,43.504163,-80.239079,0,,,,,
6207,6207,Downey at Ptarmigan southbound,DOWNEY ROAD & PHEASANT RUN DRIVE,43.499676,-80.237159,0,,,,,
6208,6208,Downey at Teal southbound,DOWNEY ROAD & PHEASANT RUN DRIVE,43.496209,-80.233685,0,,,,,
6210,6210,Hanlon Creek at Golds eastbound,HANLON CREEK BOULEVARD & GOLDS COURT,43.494436,-80.223983,0,,,,,
6211,6211,Cooper at Quarterman eastbound,COOPER DRIVE,43.485877,-80.211904,0,,,,,
6212,6212,56 Quarterman southbound,QUARTERMAN ROAD,43.484105,-80.21102,0,,,,,
6213,6213,Quarterman at Laird westbound,QUARTERMAN ROAD,43.482661,-80.212353,0,,,,,
6214,6214,Wellington at Wyndham eastbound,WELLINGTON STREET EAST & WYNDHAM STREET SOUTH,43.544052,-80.242791,0,,,,,
6217,6217,Victoria at Owens southbound,VICTORIA ROAD SOUTH,43.536647,-80.202904,0,,,,,
6218,6218,Woolwich at Speedvale southbound,WOOLWICH STREET & SPEEDVALE AVENUE WEST,43.558548,-80.268638,0,,,,,
6220,6220,Victoria at Arabella southbound,VICTORIA ROAD SOUTH & OWENS WAY,43.534686,-80.200212,0,,,,,0
6221,6221,215 College westbound,COLLEGE AVENUE WEST & SCOTTSDALE DRIVE,43.523017,-80.245039,0,,,,,
6222,6222,Laird at Kirkby westbound,LAIRD ROAD & KIRKBY COURT,43.493985,-80.204371,0,,,,,
6223,6223,Laird at Kirkby eastbound,LAIRD ROAD & KIRKBY COURT,43.49375,-80.204262,0,,,,,
6224,6224,Speedvale at Royal westbound,SPEEDVALE AVENUE WEST & MARKSAM ROAD,43.53997,-80.29373,0,,,,,
6225,6225,Speedvale at Imperial westbound,SPEEDVALE AVENUE WEST & IMPERIAL ROAD NORTH,43.536798,-80.298144,0,,,,,0
6226,6226,643 Speedvale westbound,SPEEDVALE AVENUE WEST & IMPERIAL ROAD NORTH,43.533596,-80.302578,0,,,,,1
6228,6228,Speedvale at Silvercreek eastbound,SPEEDVALE AVENUE WEST & IMPERIAL ROAD NORTH,43.545426,-80.285973,0,,,,,
6230,6230,Speedvale at Dawson eastbound,SPEEDVALE AVENUE WEST & DAWSON ROAD,43.550212,-80.279348,0,,,,,
6231,6231,London at Dublin eastbound,LONDON ROAD WEST & DUBLIN STREET NORTH,43.548784,-80.258503,0,,,,,
